City,3_Days_Ahead,7_Days_Ahead,14_Days_Ahead,30_Days_Ahead
Changhua County,0.0855,0.0869,0.0902,0.0986
Chiayi City,0.0956,0.0977,0.1027,0.1147
Chiayi County,0.1670,0.1711,0.1777,0.2075
Hsinchu City,0.0863,0.0877,0.0909,0.1004
Hsinchu County,0.0860,0.0872,0.0895,0.0984
Hualien County,0.0695,0.0695,0.0696,0.0696
Kaohsiung City,0.9294,1.5667,3.7779,8.9896
Keelung City,0.0701,0.0701,0.0702,0.0702
Kinmen County,0.0647,0.0647,0.0647,0.0647
Lienchiang County,0.0635,0.0635,0.0635,0.0635
Miaoli County,0.0726,0.0726,0.0727,0.0728
Nantou County,0.0759,0.0767,0.0777,0.0812
New Taipei City,0.1991,0.2043,0.2181,0.3261
Penghu County,0.0671,0.0671,0.0671,0.0672
Pingtung County,0.2170,0.2239,0.2429,0.3329
Taichung City,0.1539,0.1561,0.1628,0.1957
Tainan City,5.4540,5.9243,7.4469,10.5649
Taipei City,0.1596,0.1613,0.1680,0.1990
Taitung County,0.0696,0.0696,0.0696,0.0697
Taoyuan City,0.1332,0.1367,0.1439,0.1635
Yilan County,0.0707,0.0708,0.0711,0.0720
Yunlin County,0.3082,0.3190,0.3419,0.5940
